treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
1,"1|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]",3,147,3,1,,,,,,
1,"1|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]",48,286,48,1,,,,,,
1,"1|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]",85,120,85,1,,,,,,
1,"1|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]",0,120,0,0,,,,,,
1,"1|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]",0,9,0,0,,,,,,
1,"1|(30111.25, 40148.0]|(10037.75, 20074.5]|(0.999, 10037.75]",9,5,5,1,,,,,,
1,"1|(20074.5, 30111.25]|(10037.75, 20074.5]|(0.999, 10037.75]",4,11,4,1,,,,,,
1,"1|(10037.75, 20074.5]|(10037.75, 20074.5]|(30111.25, 40148.0]",0,42,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]",36,356,36,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(20074.5, 30111.25]",10,22,10,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]",29,93,29,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(30111.25, 40148.0]",2,490,2,1,,,,,,
all,__overall__,10865,29283,6317,1,40148.0,12634.0,6317.0,6317.0,2394.0,10240.0
