treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]|all",0,2664,0,0,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]|all",249,1120,249,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",3,57,3,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]|all",25,323,25,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",6,459,6,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]|all",446,450,446,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",17,418,17,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(0.999, 10037.75]|all",37,11,11,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(0.999, 10037.75]|all",12,23,12,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(30111.25, 40148.0]|all",0,74,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]|all",98,1743,98,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(30111.25, 40148.0]|all",13,2339,13,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]|all",114,507,114,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(20074.5, 30111.25]|all",38,95,38,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(30111.25, 40148.0]|all",0,1,0,0,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]|all",41,121,41,1,,,,,,
1,"1|(0.999, 10037.75]|(0.999, 10037.75]|(30111.25, 40148.0]|all",3,728,3,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|all",81,30,30,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|all",41,56,41,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|all",142,280,142,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]|all",45,251,45,1,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|all",93,88,88,1,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|all",806,203,203,1,,,,,,
1,"1|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]|all",0,12,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]|all",24,75,24,1,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]|all",111,25,25,1,,,,,,
1,"1|(0.999, 10037.75]|(0.999, 10037.75]|(20074.5, 30111.25]|all",0,114,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]|all",14,77,14,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]|all",7,19,7,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]|all",36,101,36,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]|all",134,186,134,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]|all",112,47,47,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(0.999, 10037.75]|all",67,58,58,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(0.999, 10037.75]|all",37,16,16,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]|all",20,53,20,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(30111.25, 40148.0]|all",0,9,0,0,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]|all",0,1,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]|all",0,85,0,0,,,,,,
1,"1|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]|all",0,543,0,0,,,,,,
1,"1|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",1,470,1,1,,,,,,
1,"1|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",3,147,3,1,,,,,,
1,"1|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]|all",48,286,48,1,,,,,,
1,"1|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]|all",85,120,85,1,,,,,,
1,"1|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",0,120,0,0,,,,,,
1,"1|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",0,9,0,0,,,,,,
1,"1|(30111.25, 40148.0]|(10037.75, 20074.5]|(0.999, 10037.75]|all",9,5,5,1,,,,,,
1,"1|(20074.5, 30111.25]|(10037.75, 20074.5]|(0.999, 10037.75]|all",4,11,4,1,,,,,,
1,"1|(10037.75, 20074.5]|(10037.75, 20074.5]|(30111.25, 40148.0]|all",0,42,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]|all",36,356,36,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(20074.5, 30111.25]|all",10,22,10,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]|all",29,93,29,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(30111.25, 40148.0]|all",2,490,2,1,,,,,,
all,__overall__,10865,29283,6317,1,40148.0,12634.0,6317.0,6317.0,2394.0,10240.0
